recording_id,pianist,pause,event_start,silence_start,silence_end,event_end,d_s,d_l,threshold_setting
HW_GRAVE_DEMO,Harold Wang,P1,11.539,14.722,15.102,15.102,3.184,0.380,-35dB_0.10s
HW_GRAVE_DEMO,Harold Wang,P2,15.102,19.842,20.941,20.941,4.740,1.100,-35dB_0.10s
HW_GRAVE_DEMO,Harold Wang,P3,20.941,28.458,29.306,29.306,7.517,0.847,-35dB_0.10s
HW_GRAVE_DEMO,Harold Wang,P4,29.306,36.037,36.335,36.335,6.732,0.297,-35dB_0.10s
